Zona,Provincia,Canton,Distrito,Circuito,Fecha Infracci¢n,Hora Infracci¢n,tipo_muert_matriz,Edad,Sexo,Estado Civil,Nacionalidad
ZONA 4,SANTO_DOMINGO_DE_LOS_TSACHILAS,SANTO_DOMINGO,SANTO DOMINGO OESTE,PLAN DE VIVIENDA,21/1/2014,23:15,Homicidios,36,MASCULINO,SOLTERO,ECUADOR
ZONA 1,CARCHI,TULCAN,TULCAN,KENNEDY,30/1/2014,9:00,Homicidios,62,FEMENINO,CASADO,ECUADOR
ZONA 5,GUAYAS,NARANJAL,NARANJAL BALAO,JAIME ROLDOS,14/2/2014,18:00,Asesinatos,26,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,ESTEROS,TRINITARIA SUR,17/2/2014,11:00,Asesinatos,34,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,BABA,BABAHOYO,BABA,22/3/2014,17:00,Asesinatos,33,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,EUGENIO ESPEJO,I¥AQUITO,26/3/2014,17:45,Homicidios,42,MASCULINO,CASADO,ECUADOR
ZONA 7,EL_ORO,EL_GUABO,PASAJE,BARBONES,22/3/2014,9:30,Asesinatos,28,MASCULINO,SOLTERO,ECUADOR
ZONA 4,MANABI,SANTA_ANA,24 DE MAYO,SANTA ANA,1/8/2014,9:40,Asesinatos,19,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,VINCES,VINCES,VINCES SUR,1/8/2014,20:30,Asesinatos,34,MASCULINO,CASADO,ECUADOR
ZONA 1,IMBABURA,OTAVALO,VALLE DEL AMANECER,EL JORDAN,2/8/2014,2:30,Homicidios,18,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,EUGENIO ESPEJO,KENNEDY,22/3/2014,20:30,Homicidios,54,FEMENINO,CASADO,ECUADOR
